package_id,shipment_id,actual_weight_kg,length_cm,width_cm,height_cm
P-0047-1,S-0047,20,50,30,30
P-0047-2,S-0047,4,50,30,30
P-0048-1,S-0048,8,60,30,40
P-0049-1,S-0049,15,30,30,20
P-0049-2,S-0049,18,30,30,20
P-0050-1,S-0050,3,40,30,30
P-0050-2,S-0050,6,40,30,30
P-0051-1,S-0051,10,50,30,40
P-0051-2,S-0051,13,50,30,40
P-0052-1,S-0052,17,60,30,20
P-0053-1,S-0053,5,30,30,30
P-0053-2,S-0053,8,30,30,30
P-0054-1,S-0054,12,40,30,40
P-0054-2,S-0054,15,40,30,40
P-0055-1,S-0055,19,50,30,20
P-0055-2,S-0055,3,50,30,20
P-0056-1,S-0056,7,60,30,
P-0057-1,S-0057,14,30,30,40
P-0057-2,S-0057,17,30,30,40
P-0058-1,S-0058,2,40,30,20
P-0058-2,S-0058,5,40,30,20
P-0059-1,S-0059,9,50,30,30
P-0059-2,S-0059,12,50,30,30
P-0060-1,S-0060,16,60,30,40
P-0061-1,S-0061,4,30,30,20
P-0061-2,S-0061,7,30,30,20
P-0062-1,S-0062,11,40,30,30
P-0062-2,S-0062,14,40,30,30
P-0063-1,S-0063,18,50,30,40
P-0063-2,S-0063,2,50,30,40
P-0064-1,S-0064,6,60,30,20
P-0065-1,S-0065,13,30,30,30
P-0065-2,S-0065,16,30,30,30
P-0066-1,S-0066,20,40,30,40
P-0066-2,S-0066,4,40,30,40
P-0067-1,S-0067,8,50,30,20
P-0067-2,S-0067,11,50,30,20
P-0068-1,S-0068,15,60,30,30
P-0069-1,S-0069,3,30,30,40
P-0069-2,S-0069,6,30,30,40
P-0070-1,S-0070,10,40,30,20
P-0070-2,S-0070,13,40,30,20
P-0071-1,S-0071,17,50,30,30
P-0071-2,S-0071,20,50,30,30
P-0072-1,S-0072,5,60,30,40
P-0073-1,S-0073,12,30,30,20
P-0073-2,S-0073,15,30,30,20
P-0074-1,S-0074,19,40,30,30
P-0074-2,S-0074,3,40,30,30
P-0075-1,S-0075,7,50,30,40
P-0075-2,S-0075,10,50,30,40
P-0076-1,S-0076,14,60,30,20
P-0077-1,S-0077,2,30,30,30
P-0077-2,S-0077,5,30,30,30
P-0078-1,S-0078,9,40,30,40
P-0078-2,S-0078,12,40,30,40
P-0079-1,S-0079,16,50,30,20
P-0079-2,S-0079,19,50,30,20
P-0080-1,S-0080,4,60,30,30
P-0081-1,S-0081,11,30,30,40
P-0081-2,S-0081,14,30,30,40
P-0082-1,S-0082,18,40,30,20
P-0082-2,S-0082,2,40,30,20
P-0083-1,S-0083,6,50,30,30
P-0083-2,S-0083,9,50,30,30
P-0084-1,S-0084,13,60,30,40
P-0085-1,S-0085,20,30,30,20
P-0085-2,S-0085,4,30,30,20
P-0086-1,S-0086,8,40,30,30
P-0086-2,S-0086,11,40,30,30
P-0087-1,S-0087,15,50,30,40
P-0087-2,S-0087,18,50,30,40
P-0088-1,S-0088,3,60,30,20
P-0089-1,S-0089,10,30,30,30
P-0089-2,S-0089,13,30,30,30
P-0090-1,S-0090,17,40,30,40
P-0090-2,S-0090,20,40,30,40
P-0091-1,S-0091,5,50,30,20
P-0091-2,S-0091,8,50,30,20
P-0092-1,S-0092,12,60,30,30
P-0093-1,S-0093,19,30,30,40
P-0093-2,S-0093,3,30,30,40
P-0094-1,S-0094,7,40,30,20
P-0094-2,S-0094,10,40,30,20
P-0095-1,S-0095,14,50,30,30
P-0095-2,S-0095,17,50,30,30
P-0096-1,S-0096,2,60,30,40
P-0097-1,S-0097,9,30,30,20
P-0097-2,S-0097,12,30,30,20
P-0098-1,S-0098,16,40,30,30
P-0098-2,S-0098,19,40,30,30
P-0099-1,S-0099,4,50,30,40
P-0099-2,S-0099,7,50,30,40
P-0100-1,S-0100,11,60,30,20
P-0101-1,S-0101,18,30,30,30
P-0101-2,S-0101,2,30,30,30
P-0102-1,S-0102,6,40,30,40
P-0102-2,S-0102,9,40,30,40
P-0103-1,S-0103,13,50,30,20
P-0103-2,S-0103,16,50,30,20
P-0104-1,S-0104,20,60,30,30
P-0105-1,S-0105,8,30,30,40
P-0105-2,S-0105,11,30,30,40
P-0106-1,S-0106,15,40,30,20
P-0106-2,S-0106,18,40,30,20
P-0107-1,S-0107,3,50,30,30
P-0107-2,S-0107,6,50,30,30
P-0108-1,S-0108,10,60,30,40
P-0109-1,S-0109,17,30,30,
P-0109-2,S-0109,20,30,30,20
P-0110-1,S-0110,5,40,30,30
P-0110-2,S-0110,8,40,30,30
P-0111-1,S-0111,12,50,30,40
P-0111-2,S-0111,15,50,30,40
P-0112-1,S-0112,19,60,30,20
P-0113-1,S-0113,7,30,30,30
P-0113-2,S-0113,10,30,30,30
P-0114-1,S-0114,14,40,30,40
P-0114-2,S-0114,17,40,30,40
P-0115-1,S-0115,2,50,30,20
P-0115-2,S-0115,5,50,30,20
P-0116-1,S-0116,9,60,30,30
P-0117-1,S-0117,16,30,30,40
P-0117-2,S-0117,19,30,30,40
P-0118-1,S-0118,4,40,30,20
P-0118-2,S-0118,7,40,30,20
P-0119-1,S-0119,11,50,30,30
P-0119-2,S-0119,14,50,30,30
P-0120-1,S-0120,18,60,30,40
P-0121-1,S-0121,6,30,30,20
P-0121-2,S-0121,9,30,30,20
P-0122-1,S-0122,13,40,30,30
P-0122-2,S-0122,16,40,30,30
P-0123-1,S-0123,20,50,30,40
P-0123-2,S-0123,4,50,30,40
P-0124-1,S-0124,8,60,30,20
P-0125-1,S-0125,15,30,30,30
P-0125-2,S-0125,18,30,30,30
P-0126-1,S-0126,3,40,30,40
P-0126-2,S-0126,6,40,30,40
P-0127-1,S-0127,10,50,30,20
P-0127-2,S-0127,13,50,30,20
P-0128-1,S-0128,17,60,30,30
P-0129-1,S-0129,5,30,30,40
P-0129-2,S-0129,8,30,30,40
P-0130-1,S-0130,12,40,30,20
P-0130-2,S-0130,15,40,30,20
P-0131-1,S-0131,19,50,30,30
P-0131-2,S-0131,3,50,30,30
P-0132-1,S-0132,7,60,30,40
P-0133-1,S-0133,14,30,30,20
P-0133-2,S-0133,17,30,30,20
P-0134-1,S-0134,2,40,30,30
P-0134-2,S-0134,5,40,30,30
P-0135-1,S-0135,9,50,30,40
P-0135-2,S-0135,12,50,30,40
P-0136-1,S-0136,16,60,30,20
P-0137-1,S-0137,4,30,30,30
P-0137-2,S-0137,7,30,30,30
P-0138-1,S-0138,11,40,30,40
P-0138-2,S-0138,14,40,30,40
P-0139-1,S-0139,18,50,30,20
P-0139-2,S-0139,2,50,30,20
P-0140-1,S-0140,6,60,30,30
P-0141-1,S-0141,13,30,30,40
P-0141-2,S-0141,16,30,30,40
P-0142-1,S-0142,20,40,30,20
P-0142-2,S-0142,4,40,30,20
P-0143-1,S-0143,8,50,30,30
P-0143-2,S-0143,11,50,30,30
P-0144-1,S-0144,15,60,30,40
P-0145-1,S-0145,3,30,30,20
P-0145-2,S-0145,6,30,30,20
P-0146-1,S-0146,10,40,30,30
P-0146-2,S-0146,13,40,30,30
P-0147-1,S-0147,17,50,30,40
P-0147-2,S-0147,20,50,30,40
P-0148-1,S-0148,5,60,30,20
P-0149-1,S-0149,12,30,30,30
P-0149-2,S-0149,15,30,30,30
P-0150-1,S-0150,19,40,30,40
P-0150-2,S-0150,3,40,30,40
P-0151-1,S-0151,7,50,30,20
P-0151-2,S-0151,10,50,30,20
P-0152-1,S-0152,14,60,30,30
P-0153-1,S-0153,2,30,30,40
P-0153-2,S-0153,5,30,30,40
P-0154-1,S-0154,9,40,30,20
P-0154-2,S-0154,12,40,30,20
P-0155-1,S-0155,16,50,30,30
P-0155-2,S-0155,19,50,30,30
P-0156-1,S-0156,4,60,30,40
P-0157-1,S-0157,11,30,30,20
P-0157-2,S-0157,14,30,30,20
P-0158-1,S-0158,18,40,30,30
P-0158-2,S-0158,2,40,30,30
P-0159-1,S-0159,6,50,30,40
P-0159-2,S-0159,9,50,30,40
P-0160-1,S-0160,13,60,30,20
P-0161-1,S-0161,20,30,30,30
P-0161-2,S-0161,4,30,30,30
P-0162-1,S-0162,8,40,30,
P-0162-2,S-0162,11,40,30,40
P-0163-1,S-0163,15,50,30,20
P-0163-2,S-0163,18,50,30,20
P-0164-1,S-0164,3,60,30,30
P-0165-1,S-0165,10,30,30,40
P-0165-2,S-0165,13,30,30,40
P-0166-1,S-0166,17,40,30,20
P-0166-2,S-0166,20,40,30,20
P-0167-1,S-0167,5,50,30,30
P-0167-2,S-0167,8,50,30,30
P-0168-1,S-0168,12,60,30,40
P-0169-1,S-0169,19,30,30,20
P-0169-2,S-0169,3,30,30,20
P-0170-1,S-0170,7,40,30,30
P-0170-2,S-0170,10,40,30,30
P-0171-1,S-0171,14,50,30,40
P-0171-2,S-0171,17,50,30,40
P-0172-1,S-0172,2,60,30,20
P-0173-1,S-0173,9,30,30,30
P-0173-2,S-0173,12,30,30,30
P-0174-1,S-0174,16,40,30,40
P-0174-2,S-0174,19,40,30,40
P-0175-1,S-0175,4,50,30,20
P-0175-2,S-0175,7,50,30,20
P-0176-1,S-0176,11,60,30,30
P-0177-1,S-0177,18,30,30,40
P-0177-2,S-0177,2,30,30,40
P-0178-1,S-0178,6,40,30,20
P-0178-2,S-0178,9,40,30,20
P-0179-1,S-0179,13,50,30,30
P-0179-2,S-0179,16,50,30,30
P-0180-1,S-0180,20,60,30,40
P-0181-1,S-0181,8,30,30,20
P-0181-2,S-0181,11,30,30,20
P-0182-1,S-0182,15,40,30,30
P-0182-2,S-0182,18,40,30,30
P-0183-1,S-0183,3,50,30,40
P-0183-2,S-0183,6,50,30,40
P-0184-1,S-0184,10,60,30,20
P-0185-1,S-0185,17,30,30,30
P-0185-2,S-0185,20,30,30,30
P-0186-1,S-0186,5,40,30,40
P-0186-2,S-0186,8,40,30,40
P-0187-1,S-0187,12,50,30,20
P-0187-2,S-0187,15,50,30,20
P-0188-1,S-0188,19,60,30,30
P-0189-1,S-0189,7,30,30,40
P-0189-2,S-0189,10,30,30,40
P-0190-1,S-0190,14,40,30,20
P-0190-2,S-0190,17,40,30,20
P-0191-1,S-0191,2,50,30,30
P-0191-2,S-0191,5,50,30,30
P-0192-1,S-0192,9,60,30,40
P-0193-1,S-0193,16,30,30,20
P-0193-2,S-0193,19,30,30,20
P-0194-1,S-0194,4,40,30,30
P-0194-2,S-0194,7,40,30,30
P-0195-1,S-0195,11,50,30,40
P-0195-2,S-0195,14,50,30,40
P-0196-1,S-0196,18,60,30,20
P-0197-1,S-0197,6,30,30,30
P-0197-2,S-0197,9,30,30,30
P-0198-1,S-0198,13,40,30,40
P-0198-2,S-0198,16,40,30,40
P-0199-1,S-0199,20,50,30,20
P-0199-2,S-0199,4,50,30,20
P-0200-1,S-0200,8,60,30,30
