shipment_id,order_id,customer_id,destination_id,zone,ready_at,dispatch_at,promised_delivery_date,current_service_id,handling_class,consolidation_allowed
S-0040,O-0020,C-004,D-008,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0041,O-0021,C-005,D-009,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0042,O-0021,C-005,D-009,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0043,O-0022,C-005,D-009,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0044,O-0022,C-005,D-009,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0045,O-0023,C-005,D-009,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,false
S-0046,O-0023,C-005,D-010,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,RAPIDO,standard,true
S-0047,O-0024,C-005,D-010,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,LINEA,standard,true
S-0048,O-0024,C-005,D-010,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,ECONOMIA,standard,true
S-0049,O-0025,C-005,D-010,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,RAPIDO,standard,true
S-0050,O-0025,C-005,D-010,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,LINEA,standard,true
S-0051,O-0026,C-006,D-011,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0052,O-0026,C-006,D-011,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0053,O-0027,C-006,D-011,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0054,O-0027,C-006,D-011,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0055,O-0028,C-006,D-011,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0056,O-0028,C-006,D-012,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,false
S-0057,O-0029,C-006,D-012,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0058,O-0029,C-006,D-012,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0059,O-0030,C-006,D-012,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0060,O-0030,C-006,D-012,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0061,O-0031,C-007,D-013,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,standard,true
S-0062,O-0031,C-007,D-013,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,LINEA,standard,true
S-0063,O-0032,C-007,D-013,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,ECONOMIA,standard,true
S-0064,O-0032,C-007,D-013,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,standard,true
S-0065,O-0033,C-007,D-013,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,LINEA,standard,true
S-0066,O-0033,C-007,D-014,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0067,O-0034,C-007,D-014,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,false
S-0068,O-0034,C-007,D-014,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0069,O-0035,C-007,D-014,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,NON_COPERTO,standard,true
S-0070,O-0035,C-007,D-014,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0071,O-0036,C-008,D-015,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0072,O-0036,C-008,D-015,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0073,O-0037,C-008,D-015,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0074,O-0037,C-008,D-015,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0075,O-0038,C-008,D-015,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,bulky,true
S-0076,O-0038,C-008,D-016,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,RAPIDO,standard,true
S-0077,O-0039,C-008,D-016,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,LINEA,standard,true
S-0078,O-0039,C-008,D-016,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,ECONOMIA,standard,false
S-0079,O-0040,C-008,D-016,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,RAPIDO,standard,true
S-0080,O-0040,C-008,D-016,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,LINEA,standard,true
S-0081,O-0041,C-009,D-017,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0082,O-0041,C-009,D-017,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0083,O-0042,C-009,D-017,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0084,O-0042,C-009,D-017,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0085,O-0043,C-009,D-017,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0086,O-0043,C-009,D-018,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0087,O-0044,C-009,D-018,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0088,O-0044,C-009,D-018,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0089,O-0045,C-009,D-018,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,false
S-0090,O-0045,C-009,D-018,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0091,O-0046,C-010,D-019,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0092,O-0046,C-010,D-019,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0093,O-0047,C-010,D-019,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0094,O-0047,C-010,D-019,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0095,O-0048,C-010,D-019,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0096,O-0048,C-010,D-020,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0097,O-0049,C-010,D-020,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0098,O-0049,C-010,D-020,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0099,O-0050,C-010,D-020,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0100,O-0050,C-010,D-020,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,false
S-0101,O-0051,C-011,D-021,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0102,O-0051,C-011,D-021,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0103,O-0052,C-011,D-021,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0104,O-0052,C-011,D-021,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0105,O-0053,C-011,D-021,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0106,O-0053,C-011,D-022,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,RAPIDO,standard,true
S-0107,O-0054,C-011,D-022,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,LINEA,standard,true
S-0108,O-0054,C-011,D-022,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,ECONOMIA,standard,true
S-0109,O-0055,C-011,D-022,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,RAPIDO,standard,true
S-0110,O-0055,C-011,D-022,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,LINEA,standard,true
S-0111,O-0056,C-012,D-023,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,false
S-0112,O-0056,C-012,D-023,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,bulky,true
S-0113,O-0057,C-012,D-023,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0114,O-0057,C-012,D-023,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0115,O-0058,C-012,D-023,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0116,O-0058,C-012,D-024,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0117,O-0059,C-012,D-024,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0118,O-0059,C-012,D-024,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0119,O-0060,C-012,D-024,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0120,O-0060,C-012,D-024,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0121,O-0061,C-013,D-025,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,standard,true
S-0122,O-0061,C-013,D-025,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,LINEA,standard,false
S-0123,O-0062,C-013,D-025,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,ECONOMIA,standard,true
S-0124,O-0062,C-013,D-025,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,standard,true
S-0125,O-0063,C-013,D-025,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,LINEA,standard,true
S-0126,O-0063,C-013,D-026,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0127,O-0064,C-013,D-026,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0128,O-0064,C-013,D-026,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0129,O-0065,C-013,D-026,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0130,O-0065,C-013,D-026,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0131,O-0066,C-014,D-027,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0132,O-0066,C-014,D-027,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0133,O-0067,C-014,D-027,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,false
S-0134,O-0067,C-014,D-027,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0135,O-0068,C-014,D-027,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0136,O-0068,C-014,D-028,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,NON_COPERTO,standard,true
S-0137,O-0069,C-014,D-028,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,LINEA,standard,true
S-0138,O-0069,C-014,D-028,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,ECONOMIA,standard,true
S-0139,O-0070,C-014,D-028,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,RAPIDO,standard,true
S-0140,O-0070,C-014,D-028,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-09,LINEA,standard,true
S-0141,O-0071,C-015,D-029,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0142,O-0071,C-015,D-029,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0143,O-0072,C-015,D-029,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0144,O-0072,C-015,D-029,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,false
S-0145,O-0073,C-015,D-029,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0146,O-0073,C-015,D-030,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,standard,true
S-0147,O-0074,C-015,D-030,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0148,O-0074,C-015,D-030,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,RAPIDO,standard,true
S-0149,O-0075,C-015,D-030,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,LINEA,bulky,true
S-0150,O-0075,C-015,D-030,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-07,ECONOMIA,standard,true
S-0151,O-0076,C-016,D-031,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0152,O-0076,C-016,D-031,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0153,O-0077,C-016,D-031,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0154,O-0077,C-016,D-031,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0155,O-0078,C-016,D-031,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-04,LINEA,standard,false
S-0156,O-0078,C-016,D-032,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0157,O-0079,C-016,D-032,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0158,O-0079,C-016,D-032,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0159,O-0080,C-016,D-032,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0160,O-0080,C-016,D-032,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0161,O-0081,C-017,D-033,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0162,O-0081,C-017,D-033,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0163,O-0082,C-017,D-033,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,RAPIDO,standard,true
S-0164,O-0082,C-017,D-033,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,LINEA,standard,true
S-0165,O-0083,C-017,D-033,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-04,ECONOMIA,standard,true
S-0166,O-0083,C-017,D-034,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,RAPIDO,standard,false
S-0167,O-0084,C-017,D-034,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,LINEA,standard,true
S-0168,O-0084,C-017,D-034,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,ECONOMIA,standard,true
S-0169,O-0085,C-017,D-034,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,RAPIDO,standard,true
S-0170,O-0085,C-017,D-034,CENTRO,2026-09-02T08:00:00+02:00,2026-09-02T09:00:00+02:00,2026-09-03,LINEA,standard,true
S-0171,O-0086,C-018,D-035,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0172,O-0086,C-018,D-035,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0173,O-0087,C-018,D-035,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,LINEA,standard,true
S-0174,O-0087,C-018,D-035,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,ECONOMIA,standard,true
S-0175,O-0088,C-018,D-035,NORD,2026-09-03T08:00:00+02:00,2026-09-03T09:00:00+02:00,2026-09-08,RAPIDO,standard,true
S-0176,O-0088,C-018,D-036,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0177,O-0089,C-018,D-036,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,false
S-0178,O-0089,C-018,D-036,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,RAPIDO,standard,true
S-0179,O-0090,C-018,D-036,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,LINEA,standard,true
S-0180,O-0090,C-018,D-036,CENTRO,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,2026-09-11,ECONOMIA,standard,true
S-0181,O-0091,C-019,D-037,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,RAPIDO,standard,true
S-0182,O-0091,C-019,D-037,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,LINEA,standard,true
S-0183,O-0092,C-019,D-037,NORD,2026-09-01T08:00:00+02:00,2026-09-01T09:00:00+02:00,2026-09-02,ECONOMIA,standard,true
